Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_Y_ED50,Coordenada_UTM_X_ED50,Longitud_WGS84,Latitud_WGS84
2025S003963,2,Eixample,9,la Nova Esquerra de l'Eixample,362001,Vilamarí,,Diumenge,2025,7,Juliol,6,18,Tarda,,,1,,1,2,429062.580,4581269.276,2.15054005,41.37797159
2025S003964,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,,Diumenge,2025,7,Juliol,6,16,Tarda,,,1,,1,1,432041.996,4583976.735,2.18586321,41.40261423
2025S003965,9,Sant Andreu,60,Sant Andreu,701267,Dalt (Besòs),K160,Dissabte,2025,7,Juliol,5,8,Matí,,,1,,1,2,432719.944,4588904.373,2.19342441,41.44705301
2025S003966,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,K2075,Dijous,2025,7,Juliol,3,13,Matí,,,1,,1,3,433366.466,4585249.151,2.20156677,41.41418548
2025S003967,1,Ciutat Vella,2,el Barri Gòtic,082901,Colom,,Dissabte,2025,7,Juliol,5,13,Matí,,,1,,1,2,431358.529,4581040.456,2.17802032,41.37610991
2025S003968,9,Sant Andreu,61,la Sagrera,209900,Meridiana,313,Dilluns,2025,7,Juliol,7,8,Matí,,,1,,1,3,432067.152,4586467.271,2.18588432,41.42504785
2025S003969,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,689-701,Dijous,2025,7,Juliol,3,11,Matí,,,1,,1,2,425238.834,4581781.810,2.10475409,41.38224140
2025S003970,1,Ciutat Vella,3,la Barceloneta,224904,Joan Borbó Comte Barcelona,15,Dissabte,2025,7,Juliol,5,13,Matí,,,1,,1,1,432161.292,4581483.363,2.18756969,41.38016718
2025S003971,6,Gràcia,31,la Vila de Gràcia,211301,Milà i Fontanals,,Dijous,2025,7,Juliol,3,10,Matí,,,1,,1,1,429998.010,4583935.061,2.16141737,41.40206342
2025S003972,1,Ciutat Vella,2,el Barri Gòtic,177101,Laietana,69,Dissabte,2025,7,Juliol,5,12,Matí,,,1,,1,2,430961.681,4582370.942,2.17312337,41.38805925
2025S003973,7,Horta-Guinardó,42,la Clota,169103,Jorge Manrique,,Dilluns,2025,7,Juliol,7,8,Matí,,,,,,1,429391.400,4587227.217,2.15377654,41.43166153
2025S003974,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,649-651,Divendres,2025,7,Juliol,4,8,Matí,,,2,,2,1,425960.022,4582013.560,2.11334996,41.38439540
2025S003975,2,Eixample,10,Sant Antoni,127704,Floridablanca,,Dijous,2025,7,Juliol,3,13,Matí,,,1,,1,3,429744.272,4581335.473,2.15868382,41.37862765
2025S003976,10,Sant Martí,67,la Vila Olímpica del Poblenou,075702,Carmen Amaya,,Dilluns,2025,7,Juliol,7,11,Matí,,,,,,1,433369.769,4582976.000,2.20185665,41.39371206
2025S003977,2,Eixample,7,la Dreta de l'Eixample,305100,Sant Joan,,Dissabte,2025,7,Juliol,5,14,Tarda,,,1,,1,2,431370.004,4582923.541,2.17794410,41.39307131
2025S003978,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,,Divendres,2025,7,Juliol,4,18,Tarda,,,1,,1,2,431553.841,4583500.417,2.18007765,41.39828275
2025S003979,10,Sant Martí,72,Sant Martí de Provençals,322608,Selva de Mar,183-185,Dissabte,2025,7,Juliol,5,15,Tarda,,,1,,1,2,433279.869,4585349.905,2.20051956,41.41508575
2025S003980,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,028000,Augusta,,Divendres,2025,7,Juliol,4,16,Tarda,,,1,,1,2,427986.519,4583479.436,2.13741002,41.39778204
2025S003981,2,Eixample,7,la Dreta de l'Eixample,074506,Catalunya,42,Dissabte,2025,7,Juliol,5,17,Tarda,,,1,,1,2,430282.070,4582612.265,2.16496773,41.39017412
2025S003982,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,700768,Marítim de la Mar Bella,126,Divendres,2025,7,Juliol,4,21,Tarda,Altres,,2,,2,1,434318.790,4583717.294,2.21312718,41.40046685
2025S003983,7,Horta-Guinardó,43,Horta,119003,Fabra i Puig,,Divendres,2025,7,Juliol,4,18,Tarda,,,1,,1,2,430193.442,4587456.648,2.16334851,41.43379807
2025S003984,1,Ciutat Vella,1,el Raval,308505,Sant Pau,17,Dilluns,2025,7,Juliol,7,13,Matí,,,1,,1,1,430904.235,4581425.788,2.17254419,41.37954159
2025S003985,2,Eixample,10,Sant Antoni,349207,Universitat,,Divendres,2025,7,Juliol,4,16,Tarda,,,1,,1,2,430121.355,4582099.833,2.16310473,41.38554485
2025S003986,7,Horta-Guinardó,36,la Font d'en Fargues,194406,Maragall,353-355,Dilluns,2025,7,Juliol,7,14,Tarda,,,1,,1,2,430501.450,4586751.526,2.16711586,41.42747403
2025S003987,4,Les Corts,19,les Corts,144601,Diagonal,487,Dilluns,2025,7,Juliol,7,16,Tarda,,,1,,1,2,428505.870,4582846.363,2.14369690,41.39212655
2025S003988,3,Sants-Montjuïc,13,la Marina de Port,701248,Llobregat,,Dilluns,2025,7,Juliol,7,16,Tarda,Altres,,1,,1,1,428182.295,4579761.769,2.14019257,41.36431587
2025S003989,4,Les Corts,19,les Corts,343903,Corts,182-184,Dilluns,2025,7,Juliol,7,1,Nit,,,2,,2,2,427274.855,4581827.270,2.12909610,41.38283756
2025S003990,9,Sant Andreu,62,el Congrés i els Indians,194508,Maragall,14,Dilluns,2025,7,Juliol,7,9,Matí,,,1,,1,2,431669.030,4585970.346,2.18117641,41.42053843
2025S003991,10,Sant Martí,65,el Clot,161101,Independència,223-225,Dilluns,2025,7,Juliol,7,16,Tarda,,,1,,1,3,432092.780,4584277.777,2.18643691,41.40532993
2025S003992,3,Sants-Montjuïc,15,Hostafrancs,246703,Rector Triadó,106,Divendres,2025,7,Juliol,4,20,Tarda,,,1,,1,2,428370.007,4581448.299,2.14223733,41.37952261
2025S003993,9,Sant Andreu,60,Sant Andreu,310904,Sant Sebastià,8,Dilluns,2025,7,Juliol,7,17,Tarda,,,1,,1,2,432511.993,4587001.361,2.19114782,41.42989575
2025S003994,3,Sants-Montjuïc,18,Sants,312400,Sants,80,Dilluns,2025,7,Juliol,7,19,Tarda,,,2,,2,1,427919.091,4581004.472,2.13689812,41.37548492
2025S003995,9,Sant Andreu,59,el Bon Pastor,264308,Potosí,,Dilluns,2025,7,Juliol,7,16,Tarda,,,2,,2,2,433242.654,4588428.796,2.19973410,41.44281331
2025S003996,4,Les Corts,21,Pedralbes,701502,B-20 (Besòs),K55,Dilluns,2025,7,Juliol,7,17,Tarda,,,1,,1,2,425462.153,4582543.105,2.10733090,41.38911877
2025S003997,2,Eixample,6,la Sagrada Família,325005,Sicília,272-274,Dilluns,2025,7,Juliol,7,17,Tarda,,,1,,1,2,431103.598,4583787.149,2.17465943,41.40082678
2025S003998,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,055603,Calvet,84,Divendres,2025,7,Juliol,4,10,Matí,,,1,,1,2,428246.151,4583434.570,2.14052086,41.39740117
2025S003999,2,Eixample,10,Sant Antoni,349207,Universitat,3,Dissabte,2025,7,Juliol,5,6,Matí,,,1,,1,1,430159.321,4582044.971,2.16356509,41.38505403
2025S004000,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,K2072,Divendres,2025,7,Juliol,4,9,Matí,,,1,,1,3,433153.068,4585040.776,2.19903661,41.41229097
