numero_expedient,codi_districte,nom_districte,nom_barri,nom_carrer,nk_any,mes_any,nom_mes,dia_mes,hora_dia,descripcio_dia_setmana,descripcio_torn,descripcio_causa_vianant,numero_morts,numero_lesionats_lleus,numero_lesionats_greus,numero_victimes,numero_vehicles_implicats,longitud,latitud,fichero_origen,es_causa_vianant,fecha,dia_semana,fin_de_semana,franja_horaria,total_lesionados,gravedad,accidente_con_victimas
2024S005403,2,Eixample,la Nova Esquerra de l'Eixample,Josep Tarradellas,2024,9,Setembre,23,11,Dilluns,Matí,No es causa del vianant,0,1,0,1,2,2.14282959,41.38385504,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005404,5,Sarrià-Sant Gervasi,Sarrià,Vergós,2024,9,Setembre,22,21,Diumenge,Tarda,No es causa del vianant,0,2,0,2,1,2.12560131,41.39574157,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Noche (18-24h),2,Leve,TRUE
2024S005405,3,Sants-Montjuïc,Sants,Tirso de Molina,2024,9,Setembre,23,13,Dilluns,Matí,No es causa del vianant,0,1,0,1,1,2.1312997,41.37614353,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005406,5,Sarrià-Sant Gervasi,Sarrià,Avió Plus Ultra,2024,9,Setembre,23,14,Dilluns,Tarda,No es causa del vianant,0,0,0,0,1,2.12116941,41.40097526,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),0,Leve,FALSE
2024S005407,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Picasso,2024,9,Setembre,20,15,Divendres,Tarda,No es causa del vianant,0,1,0,1,1,2.18243759,41.3881633,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005408,5,Sarrià-Sant Gervasi,el Putxet i el Farró,Septimània,2024,9,Setembre,20,18,Divendres,Tarda,No es causa del vianant,0,0,0,0,2,2.14805793,41.40560428,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),0,Leve,FALSE
2024S005409,1,Ciutat Vella,el Barri Gòtic,Carme,2024,9,Setembre,23,17,Dilluns,Tarda,No es causa del vianant,0,0,0,0,1,2.17171775,41.38301261,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),0,Leve,FALSE
2024S005410,6,Gràcia,Vallcarca i els Penitents,Vall d'Hebron,2024,9,Setembre,23,15,Dilluns,Tarda,No es causa del vianant,0,1,0,1,2,2.13985132,41.41926796,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005411,1,Ciutat Vella,el Barri Gòtic,Escudellers,2024,9,Setembre,23,13,Dilluns,Matí,No es causa del vianant,0,0,0,0,1,2.1757716,41.37904045,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),0,Leve,FALSE
2024S005412,1,Ciutat Vella,el Raval,Rambla,2024,9,Setembre,23,16,Dilluns,Tarda,No es causa del vianant,0,1,0,1,2,2.17526568,41.3786792,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005413,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Aigües,2024,9,Setembre,23,18,Dilluns,Tarda,No es causa del vianant,0,1,0,1,2,2.12888868,41.4171797,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005414,10,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,2024,9,Setembre,23,17,Dilluns,Tarda,No es causa del vianant,0,1,0,1,2,2.18689705,41.41397623,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005415,9,Sant Andreu,la Trinitat Vella,Bàrcino,2024,9,Setembre,23,20,Dilluns,Tarda,No es causa del vianant,0,1,0,1,2,2.19396469,41.45255242,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005416,3,Sants-Montjuïc,Sants,Països Catalans,2024,9,Setembre,23,21,Dilluns,Tarda,No es causa del vianant,0,0,1,1,2,2.14181032,41.37924393,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Noche (18-24h),1,Grave,TRUE
2024S005417,7,Horta-Guinardó,Horta,Vall d'Hebron,2024,9,Setembre,23,18,Dilluns,Tarda,No es causa del vianant,0,0,1,1,1,2.15395699,41.43785837,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Noche (18-24h),1,Grave,TRUE
2024S005418,1,Ciutat Vella,el Raval,Om,2024,9,Setembre,23,23,Dilluns,Nit,No es causa del vianant,0,0,0,0,1,2.17182512,41.37602558,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Noche (18-24h),0,Leve,FALSE
2024S005419,7,Horta-Guinardó,el Guinardó,Sant Quintí,2024,9,Setembre,24,5,Dimarts,Nit,No es causa del vianant,0,1,0,1,1,2.17580151,41.41505672,2024_accidents_gu_bcn.csv,FALSE,2024-09-24,martes,Laborable,Madrugada (00-06h),1,Leve,TRUE
2024S005420,3,Sants-Montjuïc,Hostafrancs,Diputació,2024,9,Setembre,24,9,Dimarts,Matí,Desobeir el senyal del semàfor,0,1,0,1,2,2.14821801,41.37624645,2024_accidents_gu_bcn.csv,TRUE,2024-09-24,martes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005421,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Mandri,2024,9,Setembre,24,10,Dimarts,Matí,No es causa del vianant,0,1,0,1,3,2.13524825,41.40178068,2024_accidents_gu_bcn.csv,FALSE,2024-09-24,martes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005422,8,Nou Barris,la Prosperitat,Pablo Iglesias,2024,9,Setembre,24,10,Dimarts,Matí,No es causa del vianant,0,0,0,0,1,2.18186453,41.44381092,2024_accidents_gu_bcn.csv,FALSE,2024-09-24,martes,Laborable,Manana (06-12h),0,Leve,FALSE
